,url,qtr,quarter,code,company
4812,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/108.00/shareholding-pattern/Dec-2020/,108,Dec-20,505036,ACGL
4813,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/107.00/shareholding-pattern/Sep-2020/,107,Sep-20,505036,ACGL
4814,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/106.00/shareholding-pattern/Jun-2020/,106,Jun-20,505036,ACGL
4815,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/105.00/shareholding-pattern/Mar-2020/,105,Mar-20,505036,ACGL
4816,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/104.00/shareholding-pattern/Dec-2019/,104,Dec-19,505036,ACGL
4817,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/103.00/shareholding-pattern/Sep-2019/,103,Sep-19,505036,ACGL
4818,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/102.00/shareholding-pattern/Jun-2019/,102,Jun-19,505036,ACGL
4819,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/101.00/shareholding-pattern/Mar-2019/,101,Mar-19,505036,ACGL
4820,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/100.00/shareholding-pattern/Dec-2018/,100,Dec-18,505036,ACGL
4821,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/99.00/shareholding-pattern/Sep-2018/,99,Sep-18,505036,ACGL
4822,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/98.00/shareholding-pattern/Jun-2018/,98,Jun-18,505036,ACGL
4823,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/97.00/shareholding-pattern/Mar-2018/,97,Mar-18,505036,ACGL
4824,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/96.00/shareholding-pattern/Dec-2017/,96,Dec-17,505036,ACGL
4825,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/95.00/shareholding-pattern/Sep-2017/,95,Sep-17,505036,ACGL
4826,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/94.00/shareholding-pattern/Jun-2017/,94,Jun-17,505036,ACGL
4827,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/93.00/shareholding-pattern/Mar-2017/,93,Mar-17,505036,ACGL
4828,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/92.00/shareholding-pattern/Dec-2016/,92,Dec-16,505036,ACGL
4829,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/91.00/shareholding-pattern/Sep-2016/,91,Sep-16,505036,ACGL
4830,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/90.00/shareholding-pattern/Jun-2016/,90,Jun-16,505036,ACGL
4831,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/88.00/shareholding-pattern/Dec-2015/,88,Dec-15,505036,ACGL
4832,https://www.bseindia.com/stock-share-price/automobile-corporation-of-goa-ltd/acgl/505036/qtrid/89.00/shareholding-pattern/Mar-2016/,89,Mar-16,505036,ACGL
4833,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/128.00/shareholding-pattern/Dec-2025/,128,Dec-25,542652,POLYCAB
4834,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/127.00/shareholding-pattern/Sep-2025/,127,Sep-25,542652,POLYCAB
4835,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/126.01/shareholding-pattern/Jun-2025/,126.01,Jun-25,542652,POLYCAB
4836,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/126.00/shareholding-pattern/Jun-2025/,126,Jun-25,542652,POLYCAB
4837,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/125.00/shareholding-pattern/Mar-2025/,125,Mar-25,542652,POLYCAB
4838,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/124.00/shareholding-pattern/Dec-2024/,124,Dec-24,542652,POLYCAB
4839,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/123.00/shareholding-pattern/Sep-2024/,123,Sep-24,542652,POLYCAB
4840,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/122.00/shareholding-pattern/Jun-2024/,122,Jun-24,542652,POLYCAB
4841,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/121.00/shareholding-pattern/Mar-2024/,121,Mar-24,542652,POLYCAB
4842,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/120.00/shareholding-pattern/Dec-2023/,120,Dec-23,542652,POLYCAB
4843,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/119.01/shareholding-pattern/Sep-2023/,119.01,Sep-23,542652,POLYCAB
4844,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/119.00/shareholding-pattern/Sep-2023/,119,Sep-23,542652,POLYCAB
4845,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/118.00/shareholding-pattern/Jun-2023/,118,Jun-23,542652,POLYCAB
4846,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/117.00/shareholding-pattern/Mar-2023/,117,Mar-23,542652,POLYCAB
4847,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/116.00/shareholding-pattern/Dec-2022/,116,Dec-22,542652,POLYCAB
4848,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/115.00/shareholding-pattern/Sep-2022/,115,Sep-22,542652,POLYCAB
4849,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/114.00/shareholding-pattern/Jun-2022/,114,Jun-22,542652,POLYCAB
4850,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/113.00/shareholding-pattern/Mar-2022/,113,Mar-22,542652,POLYCAB
4851,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/112.00/shareholding-pattern/Dec-2021/,112,Dec-21,542652,POLYCAB
4852,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/111.00/shareholding-pattern/Sep-2021/,111,Sep-21,542652,POLYCAB
4853,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/110.00/shareholding-pattern/Jun-2021/,110,Jun-21,542652,POLYCAB
4854,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/109.00/shareholding-pattern/Mar-2021/,109,Mar-21,542652,POLYCAB
4855,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/108.00/shareholding-pattern/Dec-2020/,108,Dec-20,542652,POLYCAB
4856,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/107.00/shareholding-pattern/Sep-2020/,107,Sep-20,542652,POLYCAB
4857,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/106.00/shareholding-pattern/Jun-2020/,106,Jun-20,542652,POLYCAB
4858,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/105.00/shareholding-pattern/Mar-2020/,105,Mar-20,542652,POLYCAB
4859,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/104.00/shareholding-pattern/Dec-2019/,104,Dec-19,542652,POLYCAB
4860,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/103.00/shareholding-pattern/Sep-2019/,103,Sep-19,542652,POLYCAB
4861,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/102.00/shareholding-pattern/Jun-2019/,102,Jun-19,542652,POLYCAB
4862,https://www.bseindia.com/stock-share-price/polycab-india-ltd/polycab/542652/qtrid/101.02/shareholding-pattern/Apr-2019/,101.02,Apr-19,542652,POLYCAB
4863,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/128.00/shareholding-pattern/Dec-2025/,128,Dec-25,500097,DALMIASUG
4864,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/127.00/shareholding-pattern/Sep-2025/,127,Sep-25,500097,DALMIASUG
4865,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/126.00/shareholding-pattern/Jun-2025/,126,Jun-25,500097,DALMIASUG
4866,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/125.00/shareholding-pattern/Mar-2025/,125,Mar-25,500097,DALMIASUG
4867,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/124.00/shareholding-pattern/Dec-2024/,124,Dec-24,500097,DALMIASUG
4868,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/123.00/shareholding-pattern/Sep-2024/,123,Sep-24,500097,DALMIASUG
4869,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/122.00/shareholding-pattern/Jun-2024/,122,Jun-24,500097,DALMIASUG
